prompt_id,tier,family,prompt_text,clip_craft,clip_gpt4o,clip_gpt52,clip_gt
7_segment__WT5011BSR,Simple,7_segment,A 7 segment: [12.7; 19; 8.2],0.177301,0.179926,0.180817,0.169343
antenna__ESP201_antenna,Simple,antenna,A antenna,0.232944,0.229742,0.238856,0.264970
axial__DO_35,Medium,axial,A axial: [3.4; 1.75; 0.3],0.189945,0.169620,0.157258,0.177995
axial__DO_41,Medium,axial,A axial: [5.21; 2.72; 0],0.192130,0.183579,0.185593,0.173647
ball_bearing__BB608,Medium,ball_bearing,A ball bearing with 8.0mm bore; 22.0mm outer diameter; and 7.0mm width,0.220702,0.217213,0.237840,0.237530
ball_bearing__BB6200,Medium,ball_bearing,A ball bearing with 10.0mm bore; 30.0mm outer diameter; and 9.0mm width,0.246245,0.217995,0.262131,0.239040
ball_bearing__BB6201,Medium,ball_bearing,A ball bearing with 12.0mm bore; 32.0mm outer diameter; and 10.0mm width,0.238587,0.215473,0.242636,0.236998
ball_bearing__BB624,Medium,ball_bearing,A ball bearing with 4.0mm bore; 13.0mm outer diameter; and 5.0mm width,0.226624,0.224775,0.242334,0.232993
ball_bearing__BB6808,Medium,ball_bearing,A ball bearing with 40.0mm bore; 52.0mm outer diameter; and 7.0mm width,0.244687,0.193390,0.206631,0.248178
ball_bearing__BB686,Medium,ball_bearing,A ball bearing with 6.0mm bore; 13.0mm outer diameter; and 5.0mm width,0.244193,0.224887,0.254318,0.262428
ball_bearing__BB696,Medium,ball_bearing,A ball bearing with 6.0mm bore; 16.0mm outer diameter; and 5.0mm width,0.221283,0.219895,0.250002,0.254089
ball_bearing__BBF623,Medium,ball_bearing,A flanged ball bearing with 3.0mm bore; 10.0mm outer diameter; and 4.0mm width; with a 11.5mm flange diameter,0.239795,0.173070,0.216883,0.227537
ball_bearing__BBF625,Medium,ball_bearing,A flanged ball bearing with 5.0mm bore; 16.0mm outer diameter; and 5.0mm width; with a 18.0mm flange diameter,0.221343,0.179048,0.212669,0.224388
ball_bearing__BBF693,Medium,ball_bearing,A flanged ball bearing with 3.0mm bore; 8.0mm outer diameter; and 3.0mm width; with a 9.5mm flange diameter,0.236528,0.180258,0.161873,0.238047
ball_bearing__BBF695,Medium,ball_bearing,A flanged ball bearing with 5.0mm bore; 13.0mm outer diameter; and 4.0mm width; with a 15.0mm flange diameter,0.243233,0.183191,0.232835,0.235204
ball_bearing__BBMR63,Medium,ball_bearing,A ball bearing with 3.0mm bore; 6.0mm outer diameter; and 2.5mm width,0.216141,0.216241,0.237501,0.243039
ball_bearing__BBMR83,Medium,ball_bearing,A ball bearing with 3.0mm bore; 8.0mm outer diameter; and 3.0mm width,0.219206,0.223238,0.229018,0.251222
ball_bearing__BBMR85,Medium,ball_bearing,A ball bearing with 5.0mm bore; 8.0mm outer diameter; and 2.5mm width,0.242997,0.211058,0.219851,0.267621
ball_bearing__BBMR93,Medium,ball_bearing,A ball bearing with 3.0mm bore; 9.0mm outer diameter; and 4.0mm width,0.241678,0.217895,0.206951,0.231205
ball_bearing__BBMR95,Medium,ball_bearing,A ball bearing with 5.0mm bore; 9.0mm outer diameter; and 3.0mm width,0.213046,0.221929,0.234047,0.276275
ball_bearing__BBSMR95,Medium,ball_bearing,A ball bearing with 5.0mm bore; 9.0mm outer diameter; and 2.5mm width,0.220216,0.217249,0.261399,0.270827
batterie__A23CELL,Medium,batterie,A battery cell; 28.5mm tall; 10.3mm diameter,0.272620,0.208093,0.211596,0.293243
batterie__AAACELL,Medium,batterie,A battery cell; 44.5mm tall; 10.5mm diameter,0.220133,0.194466,0.213318,0.279528
batterie__AACELL,Medium,batterie,A battery cell; 50.5mm tall; 14.5mm diameter,0.235367,0.208300,0.213228,0.291419
batterie__CCELL,Medium,batterie,A battery cell; 50.0mm tall; 26.2mm diameter,0.221487,0.224133,0.216238,0.309301
batterie__DCELL,Medium,batterie,A battery cell; 61.5mm tall; 34.2mm diameter,0.201462,0.217021,0.209343,0.302519
batterie__LI16340,Medium,batterie,A battery cell; 35.2mm tall; 16.4mm diameter,0.205811,0.203513,0.228197,0.287970
batterie__LI32700,Medium,batterie,A battery cell; 70.2mm tall; 32.4mm diameter,0.218365,0.213575,0.213840,0.280171
batterie__LI4680,Medium,batterie,A battery cell; 80.2mm tall; 46.2mm diameter,0.234352,0.220460,0.222166,0.238645
batterie__LUMINTOP,Medium,batterie,A battery cell; 70.7mm tall; 18.4mm diameter,0.224039,0.205317,0.207756,0.274673
batterie__S25R18650,Medium,batterie,A battery cell; 65.0mm tall; 18.3mm diameter,0.215262,0.222886,0.232633,0.218595
bearing_block__SCS10LUU,Complex,bearing_block,A long linear bearing block for 8.0mm shaft; block size 40.0mm x 68.0mm,0.231037,0.169055,0.150372,0.225555
bearing_block__SCS10UU,Complex,bearing_block,A linear bearing block for 8.0mm shaft; block size 40.0mm x 35.0mm,0.181532,0.153083,0.167820,0.244003
bearing_block__SCS12LUU,Complex,bearing_block,A long linear bearing block for 8.0mm shaft; block size 42.0mm x 70.0mm,0.216580,0.192632,0.239380,0.238107
bearing_block__SCS12UU,Complex,bearing_block,A linear bearing block for 8.0mm shaft; block size 42.0mm x 36.0mm,0.220177,0.190539,0.172725,0.260878
bearing_block__SCS16LUU,Complex,bearing_block,A long linear bearing block for 9.0mm shaft; block size 50.0mm x 85.0mm,0.238626,0.182489,0.230223,0.229319
bearing_block__SCS16UU,Complex,bearing_block,A linear bearing block for 9.0mm shaft; block size 50.0mm x 44.0mm,0.244756,0.177211,0.145360,0.244824
bearing_block__SCS6UU,Complex,bearing_block,A linear bearing block for 6.0mm shaft; block size 30.0mm x 25.0mm,0.242114,0.202293,0.204772,0.256291
bearing_block__SCS8LUU,Complex,bearing_block,A long linear bearing block for 6.0mm shaft; block size 34.0mm x 58.0mm,0.210522,0.195527,0.227080,0.249046
bearing_block__SCS8UU,Complex,bearing_block,A linear bearing block for 6.0mm shaft; block size 34.0mm x 30.0mm,0.225822,0.207501,,0.264265
bldc_motor__BLDC0603,Complex,bldc_motor,A brushless DC motor with 9.0mm stator diameter and 8.0mm height,0.235631,0.147456,0.191898,0.206984
bldc_motor__BLDC0802,Complex,bldc_motor,A brushless DC motor with 11.5mm stator diameter and 9.5mm height,0.219347,0.137239,0.187154,0.215600
bldc_motor__BLDC1105,Complex,bldc_motor,A brushless DC motor with 14.0mm stator diameter and 11.75mm height,0.186016,0.135905,0.162746,0.216939
bldc_motor__BLDC1306,Complex,bldc_motor,A brushless DC motor with 17.75mm stator diameter and 14.5mm height,0.218856,0.177834,0.168271,0.259167
bldc_motor__BLDC1804,Complex,bldc_motor,A brushless DC motor with 23.0mm stator diameter and 12.0mm height,0.207751,0.132288,0.212413,0.224155
bldc_motor__BLDC2205,Complex,bldc_motor,A brushless DC motor with 28.0mm stator diameter and 17.25mm height,0.225167,0.166992,0.211483,0.247391
