prompt_id,tier,family,hd_cadence,hd95_cadence,hd_gpt4o,hd95_gpt4o,hd_gpt52,hd95_gpt52
7_segment__WT5011BSR,Simple,7_segment,0.222567,0.215975,0.257647,0.216285,0.217931,0.216282
antenna__ESP201_antenna,Simple,antenna,0.383406,0.293854,0.111681,0.028229,0.191250,0.127868
axial__DO_35,Medium,axial,0.497019,0.469481,0.414875,0.371238,0.294159,0.251954
axial__DO_41,Medium,axial,0.857799,0.757414,0.755742,0.716136,0.975438,0.892540
ball_bearing__BB608,Medium,ball_bearing,0.082097,0.043064,0.182861,0.162728,0.082554,0.046428
ball_bearing__BB6200,Medium,ball_bearing,0.076699,0.046609,0.168266,0.152241,0.164750,0.115424
ball_bearing__BB6201,Medium,ball_bearing,0.180678,0.030937,0.173033,0.158030,0.064661,0.035367
ball_bearing__BB624,Medium,ball_bearing,0.076696,0.047460,0.213072,0.194407,0.082249,0.047296
ball_bearing__BB6808,Medium,ball_bearing,0.038074,0.019330,0.077728,0.068982,0.036166,0.029901
ball_bearing__BB686,Medium,ball_bearing,0.074782,0.060594,0.212736,0.194103,0.073490,0.035970
ball_bearing__BB696,Medium,ball_bearing,0.071553,0.050292,0.174625,0.157797,0.059788,0.030582
ball_bearing__BBF623,Medium,ball_bearing,0.073875,0.048731,0.293308,0.266850,0.076390,0.065288
ball_bearing__BBF625,Medium,ball_bearing,0.073948,0.054157,0.238649,0.201935,0.072124,0.056967
ball_bearing__BBF693,Medium,ball_bearing,0.068984,0.044909,0.268239,0.218098,0.150200,0.078971
ball_bearing__BBF695,Medium,ball_bearing,0.160441,0.066744,0.265064,0.206568,0.079150,0.068158
ball_bearing__BBMR63,Medium,ball_bearing,0.196225,0.133480,0.218156,0.209099,0.099837,0.064580
ball_bearing__BBMR83,Medium,ball_bearing,0.069126,0.064226,0.216341,0.191826,0.088528,0.027892
ball_bearing__BBMR85,Medium,ball_bearing,0.067652,0.031398,0.165517,0.157077,0.069648,0.064002
ball_bearing__BBMR93,Medium,ball_bearing,0.110508,0.057596,0.251613,0.227281,0.082259,0.060243
ball_bearing__BBMR95,Medium,ball_bearing,0.065483,0.049218,0.182325,0.168216,0.062921,0.057236
ball_bearing__BBSMR95,Medium,ball_bearing,0.063220,0.056508,0.150457,0.140270,0.065699,0.041566
batterie__A23CELL,Medium,batterie,0.041932,0.032220,0.341033,0.333324,0.038267,0.026572
batterie__AAACELL,Medium,batterie,0.019634,0.012341,0.338781,0.333302,0.021111,0.013202
batterie__AACELL,Medium,batterie,0.018612,0.012525,0.340557,0.333359,0.024407,0.015998
batterie__CCELL,Medium,batterie,0.039833,0.030278,0.353646,0.336347,0.037049,0.030570
batterie__DCELL,Medium,batterie,0.048031,0.039126,0.359676,0.339995,0.045942,0.039522
batterie__LI16340,Medium,batterie,0.026066,0.018348,0.351199,0.334072,0.036819,0.027908
batterie__LI32700,Medium,batterie,0.028321,0.013038,0.333641,0.333346,0.023385,0.013048
batterie__LI4680,Medium,batterie,0.031637,0.020077,0.333764,0.333365,0.030218,0.015097
batterie__LUMINTOP,Medium,batterie,0.065262,0.013244,0.340992,0.333339,0.076107,0.014869
batterie__S25R18650,Medium,batterie,0.017151,0.009786,0.333491,0.333291,0.021369,0.010073
bearing_block__SCS10LUU,Complex,bearing_block,0.430072,0.394880,0.441371,0.393173,0.474984,0.428687
bearing_block__SCS10UU,Complex,bearing_block,0.427249,0.343884,0.427319,0.366678,0.396884,0.327068
bearing_block__SCS12LUU,Complex,bearing_block,0.424401,0.370679,0.433573,0.381591,0.411818,0.366125
bearing_block__SCS12UU,Complex,bearing_block,0.408708,0.337294,0.408743,0.350646,0.408739,0.341065
bearing_block__SCS16LUU,Complex,bearing_block,0.415726,0.363429,0.415764,0.364699,0.390976,0.355998
bearing_block__SCS16UU,Complex,bearing_block,0.386665,0.306095,0.386511,0.322647,0.374711,0.290959
