prompt_id,tier,family,lpips_cadence,lpips_gpt4o,lpips_gpt52
7_segment__WT5011BSR,Simple,7_segment,0.502599,0.488848,0.494321
antenna__ESP201_antenna,Simple,antenna,0.268618,0.106296,0.121750
axial__DO_35,Medium,axial,0.480079,0.304939,0.367931
axial__DO_41,Medium,axial,0.464314,0.359261,0.344989
ball_bearing__BB608,Medium,ball_bearing,0.458180,0.182557,0.219365
ball_bearing__BB6200,Medium,ball_bearing,0.459161,0.178347,0.220799
ball_bearing__BB6201,Medium,ball_bearing,0.461559,0.182175,0.193544
ball_bearing__BB624,Medium,ball_bearing,0.500906,0.190622,0.192934
ball_bearing__BB6808,Medium,ball_bearing,0.367783,0.162924,0.161462
ball_bearing__BB686,Medium,ball_bearing,0.466297,0.194459,0.191045
ball_bearing__BB696,Medium,ball_bearing,0.461014,0.183918,0.180015
ball_bearing__BBF623,Medium,ball_bearing,0.455643,0.213001,0.229377
ball_bearing__BBF625,Medium,ball_bearing,0.432190,0.199530,0.175289
ball_bearing__BBF693,Medium,ball_bearing,0.437553,0.213536,0.222140
ball_bearing__BBF695,Medium,ball_bearing,0.450928,0.205664,0.194371
ball_bearing__BBMR63,Medium,ball_bearing,0.563318,0.197370,0.231329
ball_bearing__BBMR83,Medium,ball_bearing,0.494942,0.177719,0.210586
ball_bearing__BBMR85,Medium,ball_bearing,0.437385,0.185964,0.194453
ball_bearing__BBMR93,Medium,ball_bearing,0.509300,0.179470,0.220872
ball_bearing__BBMR95,Medium,ball_bearing,0.463579,0.188649,0.195338
ball_bearing__BBSMR95,Medium,ball_bearing,0.452483,0.184892,0.186636
batterie__A23CELL,Medium,batterie,0.312402,0.231103,0.235089
batterie__AAACELL,Medium,batterie,0.279911,0.167262,0.166135
batterie__AACELL,Medium,batterie,0.265550,0.201689,0.205050
batterie__CCELL,Medium,batterie,0.421093,0.313625,0.322480
batterie__DCELL,Medium,batterie,0.426227,0.322130,0.330981
batterie__LI16340,Medium,batterie,0.388660,0.378363,0.369341
batterie__LI32700,Medium,batterie,0.369261,0.377493,0.375622
batterie__LI4680,Medium,batterie,0.467065,0.256423,0.257861
batterie__LUMINTOP,Medium,batterie,0.295130,0.185258,0.191977
batterie__S25R18650,Medium,batterie,0.338033,0.155575,0.162526
bearing_block__SCS10LUU,Complex,bearing_block,0.440420,0.482985,0.479385
bearing_block__SCS10UU,Complex,bearing_block,0.478386,0.517545,0.503195
bearing_block__SCS12LUU,Complex,bearing_block,0.465327,0.485009,0.464425
bearing_block__SCS12UU,Complex,bearing_block,0.466110,0.518826,0.513397
bearing_block__SCS16LUU,Complex,bearing_block,0.401826,0.498727,0.476809
bearing_block__SCS16UU,Complex,bearing_block,0.422544,0.528834,0.523677
bearing_block__SCS6UU,Complex,bearing_block,0.481126,0.520245,0.493032
bearing_block__SCS8LUU,Complex,bearing_block,0.517282,0.481687,0.469261
bearing_block__SCS8UU,Complex,bearing_block,0.447675,0.524736,
bldc_motor__BLDC0603,Complex,bldc_motor,0.412895,0.277437,0.271488
bldc_motor__BLDC0802,Complex,bldc_motor,0.395375,0.384888,0.328022
bldc_motor__BLDC1105,Complex,bldc_motor,0.422914,0.399069,0.361072
bldc_motor__BLDC1306,Complex,bldc_motor,0.430241,0.373389,0.303344
bldc_motor__BLDC1804,Complex,bldc_motor,0.385659,0.350323,0.303510
bldc_motor__BLDC2205,Complex,bldc_motor,0.415628,0.384616,0.317489
bldc_motor__BLDC2212,Complex,bldc_motor,0.384679,0.318666,0.317710
bldc_motor__BLDC3548,Complex,bldc_motor,0.428131,0.312412,0.240967
bldc_motor__BLDC4250,Complex,bldc_motor,0.434836,0.347999,0.351145
blower__BL30x10,Complex,blower,0.490087,0.465143,0.475564
blower__BL40x10,Complex,blower,0.420978,0.409826,
blower__PE4020,Complex,blower,0.458428,0.505090,0.510392
blower__RB5015,Complex,blower,0.450281,0.470174,
box_section__AL12x8x1,Simple,box_section,0.242769,0.325684,0.168141
box_section__AL20x20x2,Simple,box_section,0.289236,0.393639,0.196261
box_section__AL38p1x25p4x1p6,Simple,box_section,0.415409,0.458115,0.308665
box_section__AL50p8x38p1x3,Simple,box_section,0.450430,0.520746,0.378803
component__Epcos,Simple,component,0.472516,0.221556,0.059686
component__EpcosBlue,Simple,component,0.277526,0.102692,0.084768
component__Honewell,Simple,component,0.295867,0.051832,0.117564
component__RIE1212UB5C5R6,Simple,component,0.336243,0.232644,0.164436
component__RWM04106R80J,Simple,component,0.344418,0.062689,0.143520
component__TC,Medium,component,0.517228,0.311245,0.331636
component__THS10,Medium,component,0.500431,0.358161,0.390338
component__THS15,Medium,component,0.497007,0.361146,0.390731
component__THS25,Medium,component,0.493773,0.350728,0.405955
component__THS50,Medium,component,0.527394,0.390803,0.397940
d_connector__DCONN15,Complex,d_connector,0.504689,0.303226,0.362678
d_connector__DCONN25,Complex,d_connector,,0.273855,0.332284
d_connector__DCONN9,Complex,d_connector,0.471610,0.322323,0.405124
display__BigTreeTech_TFT35v3_0,Medium,display,0.432316,0.324461,0.341855
display__HDMI5,Medium,display,0.416230,0.385857,0.331194
display__LCD1602A,Medium,display,0.444650,0.252987,0.276249
display__LCD1602AI2C,Medium,display,0.429974,0.263900,0.260385
display__LCD2004A,Medium,display,0.473095,0.260082,0.288733
display__LCDS7282B,Medium,display,0.472704,0.226628,0.235082
display__SSD1963_4p3,Medium,display,0.452262,0.329821,0.335635
display__TFT128x160,Medium,display,0.420604,0.381763,0.398634
extrusion__E1515,Simple,extrusion,0.262584,0.170903,0.173526
extrusion__E2020,Simple,extrusion,0.321631,0.210851,0.185395
extrusion__E2020t,Simple,extrusion,0.487111,0.213934,0.205158
extrusion__E2040,Simple,extrusion,0.300688,0.277810,0.268461
extrusion__E2060,Simple,extrusion,0.335951,0.305355,0.366303
