prompt_id,tier,family,prompt_text,clip_craft,clip_gpt4o,clip_gpt52,clip_gt
7_segment__WT5011BSR,Simple,7_segment,A 7 segment: [12.7; 19; 8.2],0.172869,0.179926,0.180817,0.169427
antenna__ESP201_antenna,Simple,antenna,A antenna,0.218165,0.229742,0.238856,0.262913
axial__DO_35,Medium,axial,A axial: [3.4; 1.75; 0.3],0.183636,0.169621,0.157258,0.177184
axial__DO_41,Medium,axial,A axial: [5.21; 2.72; 0],0.200207,0.183579,0.185593,0.171755
ball_bearing__BB608,Medium,ball_bearing,A ball bearing with 8.0mm bore; 22.0mm outer diameter; and 7.0mm width,0.249856,0.217213,0.237840,0.273048
ball_bearing__BB6200,Medium,ball_bearing,A ball bearing with 10.0mm bore; 30.0mm outer diameter; and 9.0mm width,0.252487,0.217995,0.262130,0.286442
ball_bearing__BB6201,Medium,ball_bearing,A ball bearing with 12.0mm bore; 32.0mm outer diameter; and 10.0mm width,0.226688,0.215472,0.242636,0.279167
ball_bearing__BB624,Medium,ball_bearing,A ball bearing with 4.0mm bore; 13.0mm outer diameter; and 5.0mm width,0.216381,0.224775,0.242333,0.281301
ball_bearing__BB6808,Medium,ball_bearing,A ball bearing with 40.0mm bore; 52.0mm outer diameter; and 7.0mm width,0.240478,0.193390,0.206631,0.278813
ball_bearing__BB686,Medium,ball_bearing,A ball bearing with 6.0mm bore; 13.0mm outer diameter; and 5.0mm width,0.215310,0.224887,0.254318,0.283737
ball_bearing__BB696,Medium,ball_bearing,A ball bearing with 6.0mm bore; 16.0mm outer diameter; and 5.0mm width,0.249377,0.219895,0.250001,0.275118
ball_bearing__BBF623,Medium,ball_bearing,A flanged ball bearing with 3.0mm bore; 10.0mm outer diameter; and 4.0mm width; with a 11.5mm flange diameter,0.196768,0.173070,0.216883,0.243785
ball_bearing__BBF625,Medium,ball_bearing,A flanged ball bearing with 5.0mm bore; 16.0mm outer diameter; and 5.0mm width; with a 18.0mm flange diameter,0.242112,0.179048,0.212669,0.251522
ball_bearing__BBF693,Medium,ball_bearing,A flanged ball bearing with 3.0mm bore; 8.0mm outer diameter; and 3.0mm width; with a 9.5mm flange diameter,0.221325,0.180257,0.161872,0.257463
ball_bearing__BBF695,Medium,ball_bearing,A flanged ball bearing with 5.0mm bore; 13.0mm outer diameter; and 4.0mm width; with a 15.0mm flange diameter,0.226916,0.183191,0.232835,0.259279
ball_bearing__BBMR63,Medium,ball_bearing,A ball bearing with 3.0mm bore; 6.0mm outer diameter; and 2.5mm width,0.234471,0.216240,0.237502,0.252313
ball_bearing__BBMR83,Medium,ball_bearing,A ball bearing with 3.0mm bore; 8.0mm outer diameter; and 3.0mm width,0.182403,0.223238,0.229017,0.269839
ball_bearing__BBMR85,Medium,ball_bearing,A ball bearing with 5.0mm bore; 8.0mm outer diameter; and 2.5mm width,0.239511,0.211058,0.219851,0.270482
ball_bearing__BBMR93,Medium,ball_bearing,A ball bearing with 3.0mm bore; 9.0mm outer diameter; and 4.0mm width,0.235980,0.217895,0.206950,0.262961
ball_bearing__BBMR95,Medium,ball_bearing,A ball bearing with 5.0mm bore; 9.0mm outer diameter; and 3.0mm width,0.238569,0.221928,0.234047,0.277128
ball_bearing__BBSMR95,Medium,ball_bearing,A ball bearing with 5.0mm bore; 9.0mm outer diameter; and 2.5mm width,0.241981,0.217249,0.261399,0.268791
batterie__A23CELL,Medium,batterie,A battery cell; 28.5mm tall; 10.3mm diameter,0.193445,0.208092,0.211596,0.291798
batterie__AAACELL,Medium,batterie,A battery cell; 44.5mm tall; 10.5mm diameter,0.216948,0.194466,0.213318,0.279071
batterie__AACELL,Medium,batterie,A battery cell; 50.5mm tall; 14.5mm diameter,0.271664,0.208300,0.213228,0.286093
batterie__CCELL,Medium,batterie,A battery cell; 50.0mm tall; 26.2mm diameter,0.276627,0.224133,0.216238,0.309467
batterie__DCELL,Medium,batterie,A battery cell; 61.5mm tall; 34.2mm diameter,0.226628,0.217021,0.209343,0.301747
batterie__LI16340,Medium,batterie,A battery cell; 35.2mm tall; 16.4mm diameter,0.185648,0.203512,0.228197,0.287428
batterie__LI32700,Medium,batterie,A battery cell; 70.2mm tall; 32.4mm diameter,0.208496,0.213575,0.213840,0.277502
batterie__LI4680,Medium,batterie,A battery cell; 80.2mm tall; 46.2mm diameter,0.215248,0.220460,0.222165,0.242574
batterie__LUMINTOP,Medium,batterie,A battery cell; 70.7mm tall; 18.4mm diameter,0.247463,0.205317,0.207756,0.275334
batterie__S25R18650,Medium,batterie,A battery cell; 65.0mm tall; 18.3mm diameter,0.223918,0.222886,0.232633,0.216594
bearing_block__SCS10LUU,Complex,bearing_block,A long linear bearing block for 8.0mm shaft; block size 40.0mm x 68.0mm,0.232879,0.169055,0.150372,0.225343
bearing_block__SCS10UU,Complex,bearing_block,A linear bearing block for 8.0mm shaft; block size 40.0mm x 35.0mm,0.232483,0.153083,0.167819,0.239068
bearing_block__SCS12LUU,Complex,bearing_block,A long linear bearing block for 8.0mm shaft; block size 42.0mm x 70.0mm,0.233412,0.192632,0.239380,0.237675
bearing_block__SCS12UU,Complex,bearing_block,A linear bearing block for 8.0mm shaft; block size 42.0mm x 36.0mm,0.242445,0.190539,0.172725,0.254831
bearing_block__SCS16LUU,Complex,bearing_block,A long linear bearing block for 9.0mm shaft; block size 50.0mm x 85.0mm,0.218149,0.182489,0.230223,0.229391
bearing_block__SCS16UU,Complex,bearing_block,A linear bearing block for 9.0mm shaft; block size 50.0mm x 44.0mm,0.194889,0.177211,0.145359,0.244366
bearing_block__SCS6UU,Complex,bearing_block,A linear bearing block for 6.0mm shaft; block size 30.0mm x 25.0mm,0.217696,0.202294,0.204772,0.256181
bearing_block__SCS8LUU,Complex,bearing_block,A long linear bearing block for 6.0mm shaft; block size 34.0mm x 58.0mm,0.235682,0.195527,0.227080,0.248909
bearing_block__SCS8UU,Complex,bearing_block,A linear bearing block for 6.0mm shaft; block size 34.0mm x 30.0mm,0.222044,0.207501,,0.263918
bldc_motor__BLDC0603,Complex,bldc_motor,A brushless DC motor with 9.0mm stator diameter and 8.0mm height,0.207806,0.147456,0.191898,0.207307
bldc_motor__BLDC0802,Complex,bldc_motor,A brushless DC motor with 11.5mm stator diameter and 9.5mm height,0.178843,0.137239,0.187154,0.215227
bldc_motor__BLDC1105,Complex,bldc_motor,A brushless DC motor with 14.0mm stator diameter and 11.75mm height,0.239536,0.135906,0.162746,0.216725
bldc_motor__BLDC1306,Complex,bldc_motor,A brushless DC motor with 17.75mm stator diameter and 14.5mm height,0.213813,0.177833,0.168271,0.259159
bldc_motor__BLDC1804,Complex,bldc_motor,A brushless DC motor with 23.0mm stator diameter and 12.0mm height,0.238574,0.132288,0.212412,0.224176
bldc_motor__BLDC2205,Complex,bldc_motor,A brushless DC motor with 28.0mm stator diameter and 17.25mm height,0.220871,0.166992,0.211483,0.247327
bldc_motor__BLDC2212,Complex,bldc_motor,A brushless DC motor with 28.0mm stator diameter and 27.0mm height,0.213031,0.166193,0.215066,0.257974
bldc_motor__BLDC3548,Complex,bldc_motor,A brushless DC motor with 35.0mm stator diameter and 45.0mm height,0.226566,0.135814,0.141623,0.250444
bldc_motor__BLDC4250,Complex,bldc_motor,A brushless DC motor with 42.5mm stator diameter and 48.0mm height,0.258582,0.135397,0.216792,0.266714
blower__BL30x10,Complex,blower,A centrifugal blower fan; 30.0mm x 30.0mm x 10.1mm,0.174863,0.185906,0.241511,0.264159
blower__BL40x10,Complex,blower,A centrifugal blower fan; 40.0mm x 40.0mm x 9.5mm,0.260480,0.153699,,0.280750
blower__PE4020,Complex,blower,A centrifugal blower fan; 40.0mm x 40.0mm x 20.0mm,0.179103,0.172748,0.234685,0.294182
blower__RB5015,Complex,blower,A centrifugal blower fan; 51.3mm x 51.0mm x 15.0mm,0.246197,0.143363,,0.272326
box_section__AL12x8x1,Simple,box_section,A box section: Aluminium rectangular box section 12mm x 8mm x 1mm,0.205216,0.186802,0.184708,0.222084
box_section__AL20x20x2,Simple,box_section,A box section: Aluminium rectangular box section 20mm x 20mm x 2mm,0.228630,0.228507,0.197484,0.235430
box_section__AL38p1x25p4x1p6,Simple,box_section,A box section: Aluminium rectangular box section 38.1mm x 25.4mm x 1.6mm,0.196217,0.190214,0.198368,0.220765
box_section__AL50p8x38p1x3,Simple,box_section,A box section: Aluminium rectangular box section 50.8mm x 38.1mm x 3.0mm,0.216012,0.190644,0.192157,0.207110
component__Epcos,Simple,component,A component: Thermistor Epcos B57560G104F 100K 1%,0.200265,0.168103,0.165716,0.196028
component__EpcosBlue,Simple,component,A component: Thermistor Epcos B57861S104F40 100K 1%,0.186669,0.184811,0.189138,0.201525
component__Honewell,Simple,component,A component: Thermistor Honeywell 135-104LAC-J01 100K 1%,0.221739,0.189596,0.213000,0.187655
component__RIE1212UB5C5R6,Simple,component,A component: Resistor 5R6F 5R6 3W vitreous enamel,0.234578,0.141740,0.238848,0.242704
component__RWM04106R80J,Simple,component,A component: Resistor 6R8 3W vitreous enamel,0.236316,0.214604,0.234062,0.213478
component__TC,Medium,component,A component,0.204024,0.198073,0.216596,0.226737
component__THS10,Medium,component,A component,0.215433,0.205343,0.210951,0.213308
component__THS15,Medium,component,A component,0.221663,0.205343,0.221231,0.213004
component__THS25,Medium,component,A component,0.223949,0.209977,0.218670,0.218781
component__THS50,Medium,component,A component,0.226880,0.215391,0.227216,0.223811
d_connector__DCONN15,Complex,d_connector,A d connector,0.221648,0.170153,0.208651,0.254146
d_connector__DCONN25,Complex,d_connector,A d connector,0.223500,0.214815,0.170395,0.262059
d_connector__DCONN9,Complex,d_connector,A d connector,0.207793,0.170153,0.203064,0.248142
display__BigTreeTech_TFT35v3_0,Medium,display,A display module (v3.0); 84.5mm x 54.5mm,0.199951,0.199073,0.214529,0.202681
display__HDMI5,Medium,display,A display: HDMI display 5\""; 121; 76; 2.85; ; [0; 0; 1.9]; // pcb offst [[-54; -30.225]; [54; 34.575; 0.5]]; // aperture [[-58.7; -34]; [58.7; 36.25; 1]]; // touch screen 2; // thread length [[-2.5; -39]; [10.5; -33]]; // clearance need for the ts ribbon,0.135961,0.166453,0.186306,0.205525
display__LCD1602A,Medium,display,A display module (LCD display 1602A); 71.3mm x 24.3mm,0.265673,0.174889,0.210513,0.212685
display__LCD1602AI2C,Medium,display,A display module (LCD display 1602A); 71.3mm x 24.3mm,0.158290,0.174889,0.214232,0.211690
display__LCD2004A,Medium,display,A display module (LCD display 2004A); 97.0mm x 39.5mm,0.195457,0.169240,0.187050,0.216452
display__LCDS7282B,Medium,display,A display module (LCD display S-7282B); 73.6mm x 28.7mm,0.175042,0.155371,0.158387,0.191478
display__SSD1963_4p3,Medium,display,A display: LCD display 4.3\""; 105.5; 67.2; 3.4; ; [0; 0; 0]; [[-50; -26.5]; [50; 31.5; 0.5]]; [[-105.5 / 2; -65 / 2 + 1]; [105.5 / 2; 65 / 2 + 1; 1]]; 0; [[0; -34.5]; [12; -31.5]];,0.156740,0.191469,0.175566,0.192420
display__TFT128x160,Medium,display,A display module (LCD TFT display 128x160); 46.0mm x 34.0mm,0.190453,0.181376,0.189949,0.200912
extrusion__E1515,Simple,extrusion,An aluminium extrusion profile; 15.0mm x 15.0mm cross section; 100mm long,0.230821,0.203410,0.182234,0.288620
extrusion__E2020,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 20.0mm cross section; 100mm long,0.249317,0.232030,0.218210,0.287927
extrusion__E2020t,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 20.0mm cross section; 100mm long,0.224850,0.232030,0.236406,0.286978
extrusion__E2040,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 40.0mm cross section; 100mm long,0.279197,0.205352,0.223047,0.297470
extrusion__E2060,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 60.0mm cross section; 100mm long,0.267980,0.234153,0.217310,0.300521
extrusion__E2080,Simple,extrusion,An aluminium extrusion profile; 20.0mm x 80.0mm cross section; 100mm long,0.287375,0.243415,0.207734,0.287947
extrusion__E3030,Simple,extrusion,An aluminium extrusion profile; 30.0mm x 30.0mm cross section; 100mm long,0.257978,0.212818,0.193469,0.307174
extrusion__E3060,Simple,extrusion,An aluminium extrusion profile; 30.0mm x 60.0mm cross section; 100mm long,0.265627,0.215822,0.232749,0.303404
extrusion__E4040,Simple,extrusion,An aluminium extrusion profile; 40.0mm x 40.0mm cross section; 100mm long,0.281767,0.246078,0.243627,0.273870
extrusion__E4040t,Simple,extrusion,An aluminium extrusion profile; 40.0mm x 40.0mm cross section; 100mm long,0.256269,0.245372,0.215389,0.291117
extrusion__E4080,Simple,extrusion,An aluminium extrusion profile; 40.0mm x 80.0mm cross section; 100mm long,0.273264,0.208582,0.214045,0.296070
