prompt_id,tier,craft_params,craft_symbolic,craft_edit_success,craft_render_valid,gpt4o_params,gpt4o_symbolic,gpt4o_edit_success,gpt4o_render_valid,gpt52_params,gpt52_symbolic,gpt52_edit_success,gpt52_render_valid
7_segment__WT5011BSR,Simple,16,1.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
antenna__ESP201_antenna,Simple,16,1.0000,1.0000,1.0000,0,0.0000,,,10,0.0000,1.0000,1.0000
axial__DO_35,Medium,4,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
axial__DO_41,Medium,12,0.0000,1.0000,1.0000,0,0.0000,,,0,0.0000,,
ball_bearing__BB608,Medium,11,0.0000,1.0000,1.0000,0,0.0000,,,9,0.0000,1.0000,1.0000
ball_bearing__BB6200,Medium,13,0.9000,1.0000,1.0000,0,0.0000,,,8,1.0000,1.0000,1.0000
ball_bearing__BB6201,Medium,12,0.9412,1.0000,1.0000,0,0.0000,,,7,0.0000,1.0000,1.0000
ball_bearing__BB624,Medium,11,0.9375,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
ball_bearing__BB6808,Medium,15,1.0000,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,0.9375
ball_bearing__BB686,Medium,11,0.9167,1.0000,1.0000,0,0.0000,,,8,1.0000,1.0000,1.0000
ball_bearing__BB696,Medium,16,0.9524,1.0000,1.0000,0,0.0000,,,6,0.0000,1.0000,1.0000
ball_bearing__BBF623,Medium,11,0.9167,1.0000,1.0000,0,0.0000,,,7,0.0000,1.0000,1.0000
ball_bearing__BBF625,Medium,12,0.8750,1.0000,1.0000,0,0.0000,,,9,1.0000,1.0000,1.0000
ball_bearing__BBF693,Medium,11,1.0000,1.0000,1.0000,0,0.0000,,,10,1.0000,1.0000,1.0000
ball_bearing__BBF695,Medium,15,0.9444,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,1.0000
ball_bearing__BBMR63,Medium,8,1.0000,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,1.0000
ball_bearing__BBMR83,Medium,11,0.8462,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,1.0000
ball_bearing__BBMR85,Medium,12,0.0000,1.0000,1.0000,0,0.0000,,,3,1.0000,1.0000,0.9167
ball_bearing__BBMR93,Medium,8,1.0000,1.0000,1.0000,0,0.0000,,,7,1.0000,1.0000,1.0000
