prompt_id,tier,family,nc_craft,nc_gpt4o,nc_gpt52
7_segment__WT5011BSR,Simple,7_segment,0.561771,0.513941,0.503367
antenna__ESP201_antenna,Simple,antenna,0.501194,0.752285,0.420028
axial__DO_35,Medium,axial,0.627571,0.291784,0.693555
axial__DO_41,Medium,axial,0.197452,0.597283,0.449911
ball_bearing__BB608,Medium,ball_bearing,0.805483,0.526466,0.733290
ball_bearing__BB6200,Medium,ball_bearing,0.799659,0.534829,0.868611
ball_bearing__BB6201,Medium,ball_bearing,0.775321,0.551872,0.851708
ball_bearing__BB624,Medium,ball_bearing,0.738455,0.550722,0.905213
ball_bearing__BB6808,Medium,ball_bearing,0.844338,0.533272,0.884813
ball_bearing__BB686,Medium,ball_bearing,0.677991,0.539661,0.804963
ball_bearing__BB696,Medium,ball_bearing,0.807930,0.543790,0.860629
ball_bearing__BBF623,Medium,ball_bearing,0.776885,0.573152,0.680639
ball_bearing__BBF625,Medium,ball_bearing,0.800997,0.566722,0.763525
ball_bearing__BBF693,Medium,ball_bearing,0.815734,0.613180,0.619071
ball_bearing__BBF695,Medium,ball_bearing,0.546288,0.612672,0.752510
ball_bearing__BBMR63,Medium,ball_bearing,0.758498,0.543350,0.736498
ball_bearing__BBMR83,Medium,ball_bearing,0.898466,0.526807,0.934774
ball_bearing__BBMR85,Medium,ball_bearing,0.780720,0.547526,0.839021
ball_bearing__BBMR93,Medium,ball_bearing,0.842544,0.526929,0.782552
ball_bearing__BBMR95,Medium,ball_bearing,0.810767,0.537223,0.886173
ball_bearing__BBSMR95,Medium,ball_bearing,0.820969,0.537827,0.823038
batterie__A23CELL,Medium,batterie,0.927003,0.579721,0.956245
batterie__AAACELL,Medium,batterie,0.978314,0.554175,0.977185
batterie__AACELL,Medium,batterie,0.975533,0.561455,0.976052
batterie__CCELL,Medium,batterie,0.969237,0.487172,0.969409
batterie__DCELL,Medium,batterie,0.962580,0.475712,0.959262
batterie__LI16340,Medium,batterie,0.971236,0.499984,0.960226
batterie__LI32700,Medium,batterie,0.989181,0.519832,0.987651
batterie__LI4680,Medium,batterie,0.966636,0.531141,0.986410
batterie__LUMINTOP,Medium,batterie,0.982993,0.520077,0.977703
batterie__S25R18650,Medium,batterie,0.987522,0.503035,0.983691
bearing_block__SCS10LUU,Complex,bearing_block,0.371673,0.395590,0.385188
bearing_block__SCS10UU,Complex,bearing_block,0.501449,0.556463,0.472959
bearing_block__SCS12LUU,Complex,bearing_block,0.395837,0.357591,0.393872
bearing_block__SCS12UU,Complex,bearing_block,0.573725,0.507993,0.483563
bearing_block__SCS16LUU,Complex,bearing_block,0.408611,0.360878,0.387878
bearing_block__SCS16UU,Complex,bearing_block,0.546449,0.458192,0.497624
bearing_block__SCS6UU,Complex,bearing_block,0.492647,0.434222,0.479125
bearing_block__SCS8LUU,Complex,bearing_block,0.451612,0.390266,0.362861
bearing_block__SCS8UU,Complex,bearing_block,0.567803,0.387885,0.437229
bldc_motor__BLDC0603,Complex,bldc_motor,0.424761,0.400307,0.480777
bldc_motor__BLDC0802,Complex,bldc_motor,0.456876,0.486270,0.598678
bldc_motor__BLDC1105,Complex,bldc_motor,0.498201,0.490043,0.501803
